Ort,Datum,Breitengrad,Längengrad,Bericht_Link,Mindestangabe Teilnehmerzahl,Höchstangabe Teilnehmerzahl
Berlin,20.01.2024,52.5201616,13.3691247,https://www.rbb24.de/politik/beitrag/2024/01/berlin-brandenburg-demos-rechtsextremismus-nach-geheimtreffen.html,80.0,
Bernau,20.01.2024,52.6787254,13.5881114,https://bernau-live.de/kundgebung/demonstration-gegen-rechts-auf-dem-marktplatz-in-bernau-bei-berlin,300.0,
Bottrop,20.01.2024,51.5291,6.925444126,https://www.waz.de/staedte/bottrop/demo-gegen-rechts-in-bottrop-77-bilder-von-der-kundgebung-id241464190.html,2500.0,
Braunschweig,20.01.2024,52.2646577,10.5236066,https://www.braunschweiger-zeitung.de/braunschweig/article241438270/Protest-in-Braunschweig-Kein-Fussbreit-dem-Faschismus.html,15000.0,20000.0
Buxtehude,20.01.2024,53.4767351,9.7003941,https://www.abendblatt.de/region/harburg-landkreis/article241464878/Demo-gegen-Rechts-Tausende-protestieren-in-Buxtehude.html,2000.0,
Celle,20.01.2024,52.624056,10.081052,https://www.cz.de/celle/celle/gross-demo-4500-celler-demonstrieren-gegen-afd,4500.0,
Dortmund,20.01.2024,51.5142273,7.4652789,https://www.wa.de/nordrhein-westfalen/die-innenstadt-demo-in-dortmund-heute-15-000-menschen-ziehen-durch-92786885.html,30000.0,
Drensteinfrut,20.01.2024,51.7942,7.7355,https://www.wn.de/muensterland/kreis-warendorf/drensteinfurt/gemeinsam-gegen-hass-und-diskriminierung-2904203?pid=true&npg,800.0,
Eberswalde,20.01.2024,52.8350807,13.7996542,https://www.moz.de/lokales/eberswalde/demo-gegen-rechts-und-afd-protest-in-eberswalde-_-aperol-spritz-wird-zum-politik-symbol-72811281.html,600.0,1200.0
Emden,20.01.2024,53.3594,7.206,"https://www.nwzonline.de/emden/protest-in-emden-gegen-rechts-mahnwache-holt-weitaus-mehr-teilnehmer-auf-die-strasse-als-angemeldet_a_4,0,4003696960.html",500.0,
Erfurt,20.01.2024,50.9777974,11.0287364,https://www.zeit.de/news/2024-01/18/protest-gegen-die-afd-ramelow-in-jena-erwartet,9000.0,10000.0
