country,ISO_code,signed,signature_year,ratified,ratification_year,reservations,denunciation,v2x_libdem_2013,v2x_egaldem_2013,v2x_libdem_2020,v2x_egaldem_2020,v2x_libdem_2021,v2x_egaldem_2021,v2x_genpp_2020,v2x_gender_2020,v2x_cspart_2020,IC,RELP,WEQU,OPPG,RGOV,WOMPOW,EUC,,v2x_libdem_2013,v2x_egaldem_2013,v2csgender_2013,v2x_gender_2013,v2x_cspart_2013,v2x_gencs_2013,v2x_libdem_2017,v2x_egaldem_2017,v2csgender_2017,v2x_gender_2017,v2x_cspart_2017,v2x_gencs_2017,v2x_libdem_2020,v2x_egaldem_2020,v2csgender_2020,v2x_gender_2020,v2x_cspart_2020,v2x_gencs_2020,v2x_genpp_2020,A004,A006,A040,A124_09,C001,D081_N,D081_Y,D059,D060,D061,D078,E023,E025,E026,E027,E028,E033_L,E033_R,E233_N,E233_Y,F025_MAJ,CATH_ORTH_MUSL,F025_PERMAJ,F025_N,F118_N,F118_Y,F120_N,F120_Y,solid_right13,solid_right17,solid_right20,13_name,17_name,20_name,xxWOMACC,IC,DEMBACK,RIGHTGOV,OPPGEN,RELPOW,WOMPOW,WOMEQU,DEMBADr,OPPGENr,EGALDEM,WOMEQUr1,WOMEQUr2,EDEMBACK,genpp_2020
Ireland,ie,TRUE,2015,TRUE,2019,TRUE,FALSE,0.82,0.78,0.82,0.79,0.82,0.79,0.966,0.93,0.97,1,1,1,0,0,0.9515,0,,0.82,0.78,2.28,0.91,0.96,0.91,0.81,0.78,2.28,0.93,0.96,0.9,0.82,0.79,2.28,0.93,0.97,0.91,0.966,,,,,,,,,,,,,,,,,,,,,Roman Catholic,1,,,,,,,0,1,1,Kenny I,Varadkar I,Varadkar II,0.95,1,0,0,0,1,0.95,1,0.82,,0.79,,,0.01,0.966
Italy,it,TRUE,2012,TRUE,2013,FALSE,FALSE,0.79,0.78,0.79,0.79,0.77,0.78,0.998,0.94,0.92,1,1,0.33,0.33,0,0.929,0,,0.79,0.78,2.02,0.93,0.92,0.88,0.8,0.8,2.22,0.94,0.92,0.9,0.79,0.79,2.21,0.94,0.92,0.92,0.998,0.5,0.66,0.18,0.12,0.23,0.43,0.31,0.18,0.11,0.52,0.15,0.38,0.77,0.44,0.71,0.34,0.19,0.21,0.04,0.84,Roman Catholic,1,0.74,0.23,0.21,0.4,0.3,0.26,0,0,0,Letta I,Conte I,Conte II,0.93,1,-0.01,0,0.33,1,0.93,0.33,0.79,0.3,0.79,0.52,0.84,0,0.998
Latvia,lv,TRUE,2016,FALSE,,TRUE,FALSE,0.74,0.71,0.74,0.7,0.73,0.7,0.991,0.96,0.86,0.25,0,0.33,0.66,1,0.9085,0,,0.74,0.71,2.41,0.95,0.85,0.95,0.74,0.71,2.41,0.95,0.76,0.95,0.74,0.7,2.41,0.96,0.86,0.95,0.991,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,1,1,Dombrovskis,Kucinskis I,Karins,0.86,0.25,0,1,0.66,0,0.91,0.33,0.74,,0.7,,,-0.02,0.991
Liechtenstein,li,TRUE,2016,TRUE,2021,TRUE,FALSE,,,,,,,,,,1,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Hassler,Hassler,Hassler,0,1,0,,,0,0,,,,,,,0,
Lithuania,lt,TRUE,2013,FALSE,,FALSE,FALSE,0.78,0.75,0.76,0.71,0.74,0.69,0.987,0.93,0.82,0.25,1,0.33,0.66,0.25,0.877,0,,0.78,0.75,1.48,0.93,0.78,0.85,0.76,0.71,2.22,0.93,0.82,0.89,0.76,0.71,2.22,0.93,0.82,0.9,0.987,0.25,0.48,0.14,0.61,0.21,0.75,0.09,0.44,0.13,0.54,0.4,0.39,0.65,0.53,0.57,0.33,0.1,0.23,0.03,0.78,Roman Catholic,1,0.81,0.14,0.71,0.05,0.3,0.15,0,0,1,Butkevicius I,Skvernelis II,Symonite,0.87,0.25,-0.02,0.25,0.66,1,0.88,0.33,0.76,0.3,0.71,0.54,0.78,-0.04,0.987
Luxembourg,lu,TRUE,2011,TRUE,2018,FALSE,FALSE,0.78,0.82,0.78,0.8,0.8,0.82,0.994,0.85,0.95,1,1,,,0,0.9025,0,,0.78,0.82,1.05,0.88,0.96,0.73,0.78,0.82,1.05,0.89,0.96,0.76,0.78,0.8,0.87,0.85,0.95,0.7,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Bettel I,Bettel II,Bettel II,0.92,1,0,0,,1,0.9,,0.78,,0.8,,,-0.02,0.994
Malta,mt,TRUE,2012,TRUE,2014,TRUE,FALSE,0.61,0.7,0.61,0.68,0.64,0.68,0.904,0.87,0.83,1,1,,,0.45,0.8475,0,,0.61,0.7,1.83,0.87,0.83,0.81,0.57,0.66,1.83,0.85,0.83,0.82,0.61,0.68,1.83,0.87,0.83,0.84,0.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Muscat I,Muscat II,Abela,0.84,1,0,0.45,,1,0.85,,0.61,,0.68,,,-0.03,0.904
Monaco,mc,TRUE,2012,TRUE,2014,TRUE,FALSE,,,,,,,,,,1,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0?,0?,1?,Nouvion,Steiner,Valeri,0,1,0,,,0,0,,,,,,,0,
Montenegro,me,TRUE,2011,TRUE,2013,FALSE,FALSE,0.38,0.36,0.35,0.34,0.39,0.39,0.919,0.81,0.73,1,1,0.33,1,0,0.7685,1,,0.38,0.36,1.97,0.82,0.75,0.86,0.35,0.34,1.97,0.86,0.77,0.86,0.35,0.34,1.97,0.81,0.73,0.88,0.919,0.45,0.87,0.33,0.71,0.45,0.64,0.12,0.29,0.15,0.53,0.24,0.41,0.85,0.7,0.57,0.45,0.24,0.15,0.08,0.53,Orthodox (Russian/Greek/etc.),1,0.54,0.28,0.86,0.03,0.71,0.06,0,0,0,Dukanovic VI,Markovic,Krivokapic,0.82,1,-0.03,0,1,1,0.77,0.33,0.35,0.71,0.34,0.53,0.53,-0.02,0.919
Netherlands,nl,TRUE,2012,TRUE,2015,FALSE,FALSE,0.83,0.81,0.83,0.78,0.81,0.78,0.997,0.91,0.9,1,0,1,0,0.45,0.908,0,,0.83,0.81,1.88,0.92,0.9,0.84,0.83,0.81,1.88,0.93,0.9,0.85,0.83,0.78,1.45,0.91,0.9,0.82,0.997,0.57,0.31,0.09,0.03,0.05,0.12,0.69,0.12,0.04,0.2,0.11,0.62,0.92,0.64,0.65,0.33,0.22,0.19,0.03,0.89,Do not belong to a denomination,0,0.61,0.61,0.06,0.81,0.12,0.53,0,0,0,Rutte III,Rutte IV,Rutte V,0.91,1,0,0.45,0,0,0.91,1,0.83,0.12,0.78,0.2,0.89,-0.02,0.997
